"id","object","created","owned_by"
"gpt-realtime-2.1-mini","model",2026-06-23 22:45:06,"system"
"gpt-realtime-2.1","model",2026-06-23 22:44:47,"system"
"gpt-5.6-luna","model",2026-06-23 15:30:58,"system"
"gpt-5.6-terra","model",2026-06-23 15:27:39,"system"
"gpt-5.6-sol","model",2026-06-23 15:20:18,"system"
"gpt-realtime-whisper","model",2026-05-05 20:14:20,"system"
"gpt-realtime-2","model",2026-05-05 18:33:52,"system"
"gpt-realtime-translate","model",2026-05-05 03:03:36,"system"
"gpt-5.5-pro-2026-04-23","model",2026-04-22 21:47:50,"system"
"gpt-5.5-pro","model",2026-04-22 21:45:49,"system"
"gpt-5.5-2026-04-23","model",2026-04-22 06:27:21,"system"
"gpt-5.5","model",2026-04-22 02:27:27,"system"
"gpt-image-2-2026-04-21","model",2026-04-17 04:26:34,"system"
"gpt-image-2","model",2026-04-17 04:23:15,"system"
"gpt-5.4-mini","model",2026-03-14 01:18:43,"system"
"gpt-5.4-mini-2026-03-17","model",2026-03-14 01:17:56,"system"
"gpt-5.4-nano","model",2026-03-14 01:14:30,"system"
"gpt-5.4-nano-2026-03-17","model",2026-03-14 01:13:57,"system"
"gpt-5.4","model",2026-03-05 06:24:12,"system"
"gpt-5.4-pro-2026-03-05","model",2026-03-04 21:27:37,"system"
"gpt-5.4-pro","model",2026-03-04 21:26:41,"system"
"gpt-5.4-2026-03-05","model",2026-03-04 19:54:22,"system"
"gpt-5.3-chat-latest","model",2026-02-27 23:56:11,"system"
"gpt-4o-search-preview-2025-03-11","model",2026-02-24 04:00:21,"system"
"gpt-4o-search-preview","model",2026-02-24 03:58:54,"system"
"gpt-audio-1.5","model",2026-02-20 01:28:05,"system"
"gpt-realtime-1.5","model",2026-02-19 00:37:49,"system"
"gpt-5.3-codex","model",2026-02-08 08:05:15,"system"
"gpt-5.2-codex","model",2025-12-19 17:23:05,"system"
"chatgpt-image-latest","model",2025-12-16 22:47:59,"system"
"gpt-audio-mini-2025-12-15","model",2025-12-15 00:53:28,"system"
"gpt-realtime-mini-2025-12-15","model",2025-12-13 07:46:47,"system"
"gpt-4o-mini-tts-2025-12-15","model",2025-12-13 07:27:17,"system"
"gpt-4o-mini-tts-2025-03-20","model",2025-12-13 07:25:31,"system"
"gpt-4o-mini-transcribe-2025-03-20","model",2025-12-13 07:22:25,"system"
"gpt-4o-mini-transcribe-2025-12-15","model",2025-12-13 07:20:07,"system"
"gpt-5.2-chat-latest","model",2025-12-10 05:25:52,"system"
"gpt-5.2-pro","model",2025-12-10 05:19:43,"system"
"gpt-5.2-pro-2025-12-11","model",2025-12-10 05:19:19,"system"
"gpt-5.2","model",2025-12-09 20:44:11,"system"
"gpt-5.2-2025-12-11","model",2025-12-09 20:43:48,"system"
"gpt-image-1.5","model",2025-11-25 00:30:20,"system"
"gpt-5.1-codex-max","model",2025-11-20 20:45:32,"system"
"gpt-5.1-codex-mini","model",2025-11-13 04:11:49,"system"
"gpt-5.1-codex","model",2025-11-12 22:57:01,"system"
"gpt-5.1","model",2025-11-10 18:51:13,"system"
"gpt-5.1-2025-11-13","model",2025-11-10 18:45:53,"system"
"gpt-5.1-chat-latest","model",2025-11-07 20:39:11,"system"
"gpt-5-search-api-2025-10-14","model",2025-10-09 21:06:00,"system"
"gpt-realtime-mini-2025-10-06","model",2025-10-03 18:46:15,"system"
"gpt-realtime-mini","model",2025-10-03 18:45:33,"system"
"gpt-5-search-api","model",2025-10-03 18:03:49,"system"
"gpt-audio-mini-2025-10-06","model",2025-10-03 17:22:17,"system"
"gpt-audio-mini","model",2025-10-03 17:20:27,"system"
"gpt-5-pro","model",2025-10-03 05:37:02,"system"
"gpt-5-pro-2025-10-06","model",2025-10-03 05:35:07,"system"
"gpt-image-1-mini","model",2025-09-26 00:17:01,"system"
"gpt-5-codex","model",2025-09-10 18:10:18,"system"
"gpt-audio","model",2025-08-28 00:00:49,"system"
"gpt-realtime-2025-08-28","model",2025-08-27 05:16:13,"system"
"gpt-realtime","model",2025-08-27 05:15:01,"system"
"gpt-audio-2025-08-28","model",2025-08-27 00:55:46,"system"
"gpt-5-nano","model",2025-08-05 20:39:44,"system"
"gpt-5-nano-2025-08-07","model",2025-08-05 20:38:23,"system"
"gpt-5-mini","model",2025-08-05 20:32:08,"system"
"gpt-5-mini-2025-08-07","model",2025-08-05 20:31:07,"system"
"gpt-5","model",2025-08-05 20:29:37,"system"
"gpt-5-2025-08-07","model",2025-08-01 19:09:20,"system"
"gpt-5-chat-latest","model",2025-08-01 18:35:06,"system"
"gpt-4o-transcribe-diarize","model",2025-06-24 21:01:27,"system"
"gpt-image-1","model",2025-04-24 17:50:30,"system"
"gpt-4.1-nano","model",2025-04-10 21:48:27,"system"
"gpt-4.1-nano-2025-04-14","model",2025-04-10 21:37:05,"system"
"gpt-4.1-mini","model",2025-04-10 20:49:33,"system"
"gpt-4.1-mini-2025-04-14","model",2025-04-10 20:39:07,"system"
"gpt-4.1","model",2025-04-10 20:22:22,"system"
"gpt-4.1-2025-04-14","model",2025-04-10 20:09:06,"system"
"gpt-4o-mini-tts","model",2025-03-19 17:05:59,"system"
"gpt-4o-mini-transcribe","model",2025-03-15 19:56:36,"system"
"gpt-4o-transcribe","model",2025-03-15 19:54:23,"system"
"gpt-4o-mini-search-preview","model",2025-03-07 23:46:01,"system"
"gpt-4o-mini-search-preview-2025-03-11","model",2025-03-07 23:40:58,"system"
"gpt-4o-2024-11-20","model",2025-02-12 03:39:03,"system"
"gpt-4o-2024-08-06","model",2024-08-04 23:38:39,"system"
"gpt-4o-mini","model",2024-07-16 23:32:21,"system"
"gpt-4o-mini-2024-07-18","model",2024-07-16 23:31:57,"system"
"gpt-4o-2024-05-13","model",2024-05-10 19:08:52,"system"
"gpt-4o","model",2024-05-10 18:50:49,"system"
"gpt-4-turbo-2024-04-09","model",2024-04-08 18:41:17,"system"
"gpt-4-turbo","model",2024-04-05 23:57:21,"system"
"gpt-3.5-turbo-0125","model",2024-01-23 22:19:18,"system"
"gpt-3.5-turbo-1106","model",2023-11-02 21:15:48,"system"
"gpt-3.5-turbo-instruct-0914","model",2023-09-07 21:34:32,"system"
"gpt-3.5-turbo-instruct","model",2023-08-24 18:23:47,"system"
